ID,頭文字,品目名,小型家電回収対象,出し方,出し方のポイント
1,あ,アイスピック,,小さな金属類,尖った部分は新聞紙等で包む
2,あ,アイロン(プラスチック製),◎,燃やすごみ,
3,あ,アイロン(金属製),◎,小さな金属類,
4,あ,アイロン台,,粗大ごみ,マットのみ・木製で50cm未満のものは燃やすごみへ。プラスチックのみで50cm未満のものはプラスチック資源へ。金属製で30cm未満のものは小さな金属類へ
5,あ,雨合羽 あまがっぱ(ゴム・ビニール製),,燃やすごみ,リサイクル施設の故障原因になるため燃やすごみへ
6,あ,編み機,,粗大ごみ,
7,あ,アルバム,,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ
8,あ,アルミはく、アルミホイル,,燃やすごみ,
10,あ,足拭きマット,,燃やすごみ,"珪藻土製品で50㎝未満のものは燃えないごみ、50㎝以上のものは粗大ごみへ。
ただし、石綿(アスベスト)含有の珪藻土製品は、市では収集できません。回収方法等については、販売店・メーカーへお問合せください。詳しくは<a href=""https://www.city.yokohama.lg.jp/kurashi/sumai-kurashi/gomi-recycle/gomi/shushufuka/asubesuto.html"">市ホームページ</a>へ。"
11,あ,アンテナ,,粗大ごみ,金属製で30cm未満は小さな金属類
12,あ,アイスクリームの容器・包装(紙製),,燃やすごみ,アイスが直接入っていない外箱は古紙へ
13,あ,アイスクリームの容器・包装(プラスチック製),,プラスチック資源,
15,あ,アクセサリー,,小さな金属類,木製のものは燃やすごみへ。ガラス・陶器製のものは燃えないごみへ。プラスチックのみでできたものはプラスチック資源へ
16,あ,アクリルケース,,プラスチック資源,50㎝以上のものは粗大ごみへ
17,あ,アクリル製・プラスチック製の板,,プラスチック資源,50㎝以上のものは粗大ごみへ。50cm未満で板状や塊状で容易に曲げられないものは、リサイクル施設の故障原因になるため燃やすごみへ
18,あ,アコーディオンカーテン,,粗大ごみ,
19,あ,葦,,燃やすごみ,
20,あ,足ひれ(フィン),,燃やすごみ,50cm以上のものは粗大ごみへ
21,あ,アタッシュケース(金属製),,粗大ごみ,30㎝未満のものは小さな金属類へ。革製で50㎝未満のものは燃やすごみへ
22,あ,厚紙,,古紙(雑誌・その他の紙）,
23,あ,圧縮袋,,プラスチック資源,プラスチック製以外のものは燃やすごみへ
24,あ,雨戸,,粗大ごみ,
25,あ,網戸,,粗大ごみ,
26,あ,編み棒,,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ。金属製のものは小さな金属類へ
27,あ,アルコールランプ(ガラス製),,燃えないごみ,金属製のものは小さな金属類へ。芯は燃やすごみへ。
28,あ,あんか・足温器,◎,燃やすごみ,金属製のものは小さな金属類へ
29,あ,安全ピン,,小さな金属類,
30,あ,アウトドア用椅子,,粗大ごみ,金属製で30㎝未満のものは小さな金属類へ 金属製以外のもので50㎝未満のものは燃やすごみへ
31,あ,雨どい,,粗大ごみ,50cm未満のものは燃やすごみへ
32,あ,網戸の網,,燃やすごみ,広げて50cm未満のものはプラスチック資源へ
33,あ,アルミバッグ(カメラ・パソコン用),,粗大ごみ,30cm未満のものは小さな金属類へ
34,あ,あく取り,,小さな金属類,プラスチックのみでできたものはプラスチック資源へ
35,あ,穴あけパンチ(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
36,あ,穴あけパンチ(プラスチック製),,燃やすごみ,50cm以上のものは粗大ごみへ
37,あ,泡立て器(手動:プラスチック・シリコン製),,燃やすごみ,"金属製のものは小さな金属類へ
プラスチックのみでできたものはプラスチック資源へ"
38,あ,泡立て器(電動:金属製),◎,小さな金属類,
39,あ,泡立て器(電動:プラスチック製),◎,燃やすごみ,外せる金属製のパーツは小さな金属類へ
40,あ,アイスペール(ガラス製),,燃えないごみ,
41,あ,アイスの棒,,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ
42,あ,アンテナ基台(金属製),,粗大ごみ,30cm未満のものは小さな金属類へ
43,あ,ICレコーダー,◎,燃やすごみ,金属製のものは小さな金属類へ
44,あ,足蹴り乗用玩具(おもちゃ車),,粗大ごみ,プラスチックのみでできたもので50cm未満のものはプラスチック資源へ。木製で50cm未満のものは燃やすごみへ
45,あ,アルミホイルの芯,,古紙(雑誌・その他の紙）,
46,あ,アロマオイルの容器(ガラス製),,燃えないごみ,
47,あ,アロマオイルの容器(プラスチック製),,プラスチック資源,
48,あ,安全帯,,燃やすごみ,事業で排出するものは、事業系ごみ
49,あ,アイマスク,,燃やすごみ,
50,あ,青焼き,,古紙(雑誌・その他の紙）,
51,あ,アイスホッケー防具,,燃やすごみ,50cm以上のものは粗大ごみへ
52,あ,アイゼン,,小さな金属類,
53,あ,アトマイザー(香水噴霧器)のキャップ・ノズル,,プラスチック資源,
54,あ,アトマイザー(香水噴霧器:金属製),,小さな金属類,
55,あ,アトマイザー(香水噴霧器:プラスチック製),,プラスチック資源,
56,あ,あぶら取り紙,,燃やすごみ,未使用のものは古紙「雑誌・その他の紙」へ
58,あ,アロマポット(陶器・ガラス製),,燃えないごみ,新聞紙等に包み品名を表示する。プラスチック製のものは燃やすごみへ
59,あ,油紙,,古紙(雑誌・その他の紙）,
60,あ,アイスクリームメーカー(プラスチック製),,燃やすごみ,
63,あ,アイスクリームメーカー(金属製),,粗大ごみ,30cm未満のものは小さな金属類へ
65,あ,アイライナー・アイブロー,,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ
66,あ,アイロンプリント紙,,燃やすごみ,
67,あ,あみじゃくし,,小さな金属類,
68,あ,アルミボックス,,小さな金属類,30cm以上のものは粗大ごみ
69,あ,アングル(鋼材),,粗大ごみ,30cm未満のものは小さな金属類
70,あ,アイスペール(金属製),,小さな金属類,
71,あ,アイスペール(プラスチック製),,プラスチック資源,
72,あ,アイロンマット,,燃やすごみ,アイロン台は粗大ごみへ(金属製30㎝以上、木・プラスチック製50㎝以上のもの)
73,あ,アルミマット,,燃やすごみ,折りたたんで50cm以上のものは粗大ごみへ
74,あ,アイロンケース(プラスチック製),,プラスチック資源,
75,あ,アームスタンド,,小さな金属類,30㎝以上のものは粗大ごみへ
77,あ,編み針,,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ。金属製のものは小さな金属類へ
78,あ,泡立てネット,,プラスチック資源,プラスチック製以外のものは燃やすごみへ
79,あ,油引き,,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ。持ち手が金属製のものは小さな金属類へ。
80,あ,アイロン台カバー,,燃やすごみ,
81,あ,アコーディオンドア,,粗大ごみ,
82,あ,アルミテープ,,燃やすごみ,
83,あ,アルミ台,,粗大ごみ,
84,あ,アンカーボルト,,小さな金属類,30cm以上のものは粗大ごみへ
85,あ,アンクルウエイト,,燃やすごみ,重りを取り外しできる場合は、重りは小さな金属類へ
86,あ,あめの棒,,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ
88,あ,握力計,,燃やすごみ,金属製のものは小さな金属類へ
89,あ,アイスクラッシャー,,燃やすごみ,金属製のものは小さな金属類へ
90,あ,あかすり,,燃やすごみ,
91,あ,麻ひも,,燃やすごみ,
92,あ,IH調理器,,粗大ごみ,金属製で30cm未満のものは小さな金属類、金属製以外で50㎝未満のものは燃やすごみへ
93,あ,アイシャドウチップ,,プラスチック資源,
94,あ,アロマライト(ガラス・陶器製),,燃えないごみ,電球は外す(外せるものの場合)。
95,あ,アイスクリームのふた(紙製),,燃やすごみ,
96,あ,アイスクリームのふた(プラスチック製),,プラスチック資源,
97,あ,アルコール鮮度保持剤,,燃やすごみ,
98,あ,アームバンド,,燃やすごみ,
99,あ,安定器(照明用),,小さな金属類,30cm以上のものは粗大ごみへ プラスチック製のものは燃やすごみへ
100,あ,汗取りマット,,燃やすごみ,
101,あ,足蹴り自転車,,粗大ごみ,
102,あ,アコーディオンフェンス,,粗大ごみ,
103,あ,アロマキャンドルのビン,,燃えないごみ,
104,あ,アイススケートの刃,,小さな金属類,30cm以上のものは粗大ごみへ
106,は,破魔弓,,粗大ごみ,50cm未満のものは燃やすごみへ
107,い,衣装ケース,,粗大ごみ,"木製で50cm未満のものは燃やすごみへ。
プラスチックのみでできたもので50cm未満のものはプラスチック資源へ。
金属製で30cm未満のものは小さな金属類へ"
108,い,いす・座いす・応接用いす,,粗大ごみ,プラスチックのみで50cm未満のものはプラスチック資源へ。金属製で30cm未満のものは小さな金属類へ。
109,い,一輪車,,粗大ごみ,
111,い,一升びん,,販売店または缶・びん・ペットボトル,
112,い,一升びんのフタ(上が金属、下がプラスチック製),,プラスチック資源,分離可能であれば分けて金属部分は小さな金属類へ
113,い,一斗缶,,粗大ごみ,中身を使い切って。
114,い,衣類乾燥機,,家電リサイクル,出し方の詳細はリンクを参照ください
115,い,印鑑,,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ
116,い,インクカートリッジ,,専用回収箱または燃やすごみ,区役所・図書館・行政サービスコーナーなどにある回収箱をご利用ください。
117,い,飲料パック,,古紙（紙パック）,水洗いして切り開く。内側がアルミのものは燃やすごみへ
118,い,衣服,,古布,破れて使えないもの、綿入りの衣類は燃やすごみへ
119,い,イヤホン,◎,燃やすごみ,"プラスチック製のケースはプラスチック資源へ。
電池・充電池は電池類へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。"
120,い,衣類カバー,,燃やすごみ,
121,い,衣類購入時のカバー(プラスチック製),,プラスチック資源,台紙・包装紙は古紙(雑誌・その他紙)へ
122,い,入れ歯,,燃やすごみ,金属製のものは小さな金属類へ
123,い,インクリボン,,燃やすごみ,
124,い,印刷機,,粗大ごみ,事業で排出するものは、事業系ごみ
125,い,印刷紙,,古紙(雑誌・その他の紙）,
126,い,印刷物,,古紙(雑誌・その他の紙）,
127,い,インラインスケート,,燃やすごみ,金属製のものは小さな金属類へ
128,い,い草上敷き,,粗大ごみ,畳んで50cm未満のものは燃やすごみへ
130,い,位牌,,燃やすごみ,
131,い,インスタントカメラ,,燃やすごみ,
132,い,イーゼル,,粗大ごみ,50cm未満のものは燃やすごみへ
133,い,鋳物,,小さな金属類,30cm以上のものは粗大ごみへ
134,い,インソール,,燃やすごみ,
135,い,井戸水用ポンプ,,粗大ごみ,30cm未満のものは小さな金属類へ
136,い,インク瓶,,燃えないごみ,
137,い,インターホン,,燃やすごみ,
138,い,石皿,,燃えないごみ,50cm以上のものは粗大ごみへ
139,い,椅子マット,,粗大ごみ,丸めて50cm未満になるものは燃やすごみへ
140,い,育毛剤(エアゾール缶),,スプレー缶,中身を使い切って 穴はあけない。キャップはプラスチック資源へ。中身が出せなくなったものについては収集事務所に相談
141,い,育毛剤(プラスチック容器),,プラスチック資源,
142,い,育毛剤のびん(ガラスびん),,燃えないごみ,新聞紙等に包み品名を表示する
143,い,インクジェット紙,,古紙(雑誌・その他の紙）,
144,い,インデックスシール,,燃やすごみ,
146,い,糸巻き,,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ
147,い,犬の鎖,,小さな金属類,プラスチックのみで50cm未満のものはプラスチック資源へ
148,い,印鑑ケース,,燃やすごみ,"金属製のものは小さな金属類へ
プラスチックのみでできたものはプラスチック資源へ"
149,い,イヤホンマイク,◎,燃やすごみ,
150,い,インクフィルム,,燃やすごみ,
151,い,板目紙,,古紙(雑誌・その他の紙）,
153,い,ETC車載機,◎,燃やすごみ,
154,い,糸くずフィルター,,燃やすごみ,
155,い,インシュレーター,,小さな金属類,プラスチックのみでできたものはプラスチック資源へ
156,い,色鉛筆ケース(金属製),,小さな金属類,紙製のものは古紙へ。布製のものは燃やすごみへ。ビニール製のものはプラスチック資源へ
157,い,イオン発生器,,燃やすごみ,50cm以上のものは粗大ごみへ
158,い,インタークーラー,,粗大ごみ,30cm未満のものは小さな金属類へ
159,い,入れ歯ケース,,プラスチック資源,プラスチックのみでできたものはプラスチック資源
160,い,石臼,,粗大ごみ,50cm未満のものは燃えないごみへ 重量・サイズによっては収集できない場合があります。
163,い,糸通し,,小さな金属類,プラスチックのみでできたものはプラスチック資源へ
164,い,椅子脚カバー,,燃やすごみ,
165,い,イヤホンジャック(金属製以外),,燃やすごみ,
166,い,イヤホンジャック(金属製),,小さな金属類,
167,い,印鑑(石製),,燃えないごみ,
168,い,インテリア小物(木製・プラスチック製),,燃やすごみ,50cm以上のものは粗大ごみへ。50cm未満でプラスチックのみのものはプラスチック資源へ。
169,い,インテリア小物(金属製),,小さな金属類,30㎝以上のものは粗大ごみへ
170,い,インテリア小物(ガラス製・陶器製・石製),,燃えないごみ,"新聞紙等に包み品名を表示する。50㎝以上のものは粗大ごみへ"
171,い,医療用コルセット,,燃やすごみ,
172,う,植木鉢(素焼き、陶器製),,燃えないごみ,新聞紙等に包み品名を表示する。50cm以上のものは粗大ごみへ
173,う,植木鉢(プラスチック製),,プラスチック資源,50cm以上のものは粗大ごみへ。
174,う,腕時計(ベルトが金属),◎,小さな金属類,
175,う,腕時計(ベルトが金属以外),◎,燃やすごみ,
177,う,うちわ,,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ
178,う,植木,,燃やすごみ,鉢からは抜く。50cm以上のものは粗大ごみ
180,う,ウエットスーツ,,燃やすごみ,
181,う,浮き輪,,燃やすごみ,広げて50cm未満のものはプラスチック資源
182,う,ウッドカーペット,,粗大ごみ,折りたたんで50㎝未満のものは燃やすごみへ
183,う,ウッドパネル,,燃やすごみ,50㎝以上のものは粗大ごみへ
184,う,ウレタン,,プラスチック資源,50cm以上のものは粗大ごみへ
185,う,ウッドデッキ,,粗大ごみ,
187,う,ウレタンマット,,燃やすごみ,畳んで50㎝以上のものは粗大ごみへ。広げて50cm未満でプラスチックのみのものはプラスチック資源へ
190,う,ウエットシート・ウエットティッシュ,,燃やすごみ,容器はプラスチック製容器包装へ
191,う,ウォータークーラー,,粗大ごみ,事業で排出するものは、事業系ごみ
192,う,ウォーターサーバーのボトル(ペットボトル),,販売店または缶・びん・ペットボトル,ペットマークを確認。プラマークのあるものはプラスチック資源へ
193,う,ウエットティッシュの容器,,プラスチック資源,
194,う,ウォールポケット(布製・木製),,燃やすごみ,50cm以上のものは粗大ごみへ
195,う,ウッドタイル,,燃やすごみ,50cm以上のものは粗大ごみへ
196,う,ウエストポーチ,,燃やすごみ,
197,う,ウォータージャグ(金属製),,粗大ごみ,30cm未満のものは小さな金属類へ
198,う,ウォータージャグ(プラスチック製),,燃やすごみ,"50cm以上のものは粗大ごみへ
プラスチックのみでできたものはプラスチック資源へ"
199,う,ウォーターサーバー,,粗大ごみ,
200,う,臼,,粗大ごみ,
201,う,ウォーターベッド,,粗大ごみ,水を抜いておく。抜けない場合は販売店等に相談。
202,う,ウェブカメラ,◎,燃やすごみ,
203,う,ウレタンボード,,粗大ごみ,50cm未満のものは燃やすごみへ
204,う,ウレタンチップ,,プラスチック資源,
205,う,ウッドペレット,,燃やすごみ,
207,う,植木鉢カバー,,燃やすごみ,
208,う,植木鉢カバー(金属製),,粗大ごみ,
209,う,ウィンドーラジエーター,,粗大ごみ,
210,う,ウィンカー,,燃やすごみ,
211,う,ウロコとり(金属製),,小さな金属類,
212,う,運動着,,古布,
213,う,ウィール(スケートボード),,燃やすごみ,
214,う,ウォッシャー液のボトル,,プラスチック資源,
215,う,ウォッシュボール,,燃やすごみ,
216,う,浮き(釣り具),,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ
217,う,雨量計(プラスチック製),,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ
218,う,雨量計(金属製),,小さな金属類,30㎝以上のものは粗大ごみへ
219,う,ウェーダー,,燃やすごみ,
220,え,エアコン,,家電リサイクル,出し方の詳細はリンクを参照ください 
221,え,映像・音響機器,◎,粗大ごみ,"プラスチック製で50㎝未満のものは燃やすごみへ。金属製で30㎝未満のものは小さな金属類へ<br>
リチウムイオン電池類の出し方が令和7年12月1日から変わります。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
金属製のものは小さな金属類へ。
引き取りをするメーカーも有。"
222,え,ACアダプター,◎,燃やすごみ,
223,え,枝(せん定後の枝),,燃やすごみ,50cm未満にする。 50cm以上のものは粗大ごみへ
224,え,絵の具チューブ(金属製),,小さな金属類,中身を使い切って
225,え,絵の具チューブ(プラスチック製),,プラスチック資源,中身を使い切って
226,え,MD(ケースも含む),,燃やすごみ,
227,え,MDプレーヤー(据え置きタイプ),,小さな金属類,30㎝以上のものは粗大ごみへ。プラスチック製は燃やすごみへ
228,え,MDプレーヤー(ポータブルタイプ),◎,小さな金属類,プラスチック製は燃やすごみへ
229,え,えんぴつ,,燃やすごみ,
230,え,エアゾール缶,,スプレー缶,中身を使い切って 穴はあけない。キャップはプラスチック資源へ。中身が出せなくなったものについては収集事務所に相談
231,え,エアロバイク,,粗大ごみ,
232,え,エコバッグ,,燃やすごみ,布製のものは「古布」へ
234,え,LDディスク,,プラスチック資源,"紙製のケースは古紙(雑誌・その他の紙)へ
プラスチックのみでできたものはプラスチック資源へ"
235,え,エレクトーン,,粗大ごみ,
236,え,塩化ビニール管,,プラスチック資源,50cm以上のものは粗大ごみへ
237,え,縁台,,粗大ごみ,
238,え,鉛筆削り,,燃やすごみ,金属製のものは小さな金属類へ
239,え,エアガン(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
240,え,エアガン(プラスチック製),,燃やすごみ,50cm以上のものは粗大ごみへ
241,え,エスプレッソマシーン,,燃やすごみ,50cm以上のものは粗大ごみへ
243,え,園芸用支柱,,粗大ごみ,
244,え,園芸用ネット,,燃やすごみ,リサイクル施設の故障原因になるため燃やすごみへ
245,え,エキスパンダー,,小さな金属類,ゴム製・プラスチック製のものは燃やすごみへ
246,え,エアポンプ(プラスチック製),,燃やすごみ,金属製のものは小さな金属類へ
247,え,エアコンカバー・室外機カバー,,粗大ごみ,布製ものは燃やすごみへ。広げて50cm未満でビニール製などプラスチックのみのものはプラスチック資源へ
248,え,液晶保護シート,,プラスチック資源,
249,え,エクササイズ用ポール(スポンジ・ウレタン製),,粗大ごみ,50cm未満のものは燃やすごみへ
250,え,エフェクター(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
251,え,エフェクター(プラスチック製),,燃やすごみ,50cm以上のものは粗大ごみへ
252,え,エアコン(ウインドタイプ),,家電リサイクル,
253,え,エアマット・エアベッド,,燃やすごみ,空気を抜いて 畳んで50cm以上になるものは粗大ごみへ
254,え,エアシート,,粗大ごみ,広げて50cm未満でプラスチックのみのものはプラスチック資源へ
255,え,絵の具箱(紙製),,古紙(雑誌・その他の紙）,
256,え,絵の具箱(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
257,え,絵の具箱(木製),,燃やすごみ,50cm以上のものは粗大ごみへ
258,え,LED電球,,燃やすごみ,ガラス製は燃えないごみへ
259,え,液体石けんのボトル(プラスチック製),,プラスチック資源,
260,え,エアコンダクトカバー,,粗大ごみ,
261,え,塩化ビニールシート,,燃やすごみ,
262,え,エンジョイマット,,粗大ごみ,
263,え,エアクリーナー(車用),,燃やすごみ,
264,え,液体石けんのボトル(ガラス製),,燃えないごみ,
265,え,液体石けんのボトル(金属製),,小さな金属類,
266,え,園芸用ビニールシート,,燃やすごみ,リサイクル施設の故障原因になるため燃やすごみへ
268,え,AVスイッチ,,燃やすごみ,金属製のものは小さな金属類へ
269,え,エレクトリック・トローリング・モーター,,粗大ごみ,
270,え,エアーボード,,燃やすごみ,
271,え,エッグスライサー(プラスチック製),,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ
272,え,エフェクターケース・ボード,,粗大ごみ,木製・プラスチック製で50cm未満のものは燃やすごみへ
273,え,絵具皿,,燃えないごみ,プラスチックのみでできたものはプラスチック資源へ
274,え,FMトランスミッター(車載用),◎,燃やすごみ,
275,え,エアーブラシ,,小さな金属類,
277,え,エアロバー(金属製),,小さな金属類,カーボン製のものは燃やすごみへ
278,え,液体肥料のボトル,,プラスチック資源,
279,え,エビ・カニの殻,,燃やすごみ,
280,え,エンジンオイル容器(プラスチック容器),,プラスチック資源,
281,え,縁石,,粗大ごみ,50cm未満のものは燃えないごみへ
282,え,Nゲージケース,,粗大ごみ,プラスチックのみで50cm未満のものはプラスチック資源へ。その他は燃やすごみへ
283,え,エアフィルター,,燃やすごみ,金属製のものは小さな金属類へ
284,え,エバーフラワー,,燃えないごみ,
285,え,エアボード(ウィンタースポーツ用),,燃やすごみ,広げて50cm未満のものはプラスチック資源へ
286,え,園芸用ピック(金属製),,小さな金属類,30㎝以上は粗大ごみへ
287,え,園芸用ピック(木・プラスチック製),,燃やすごみ,50cm以上のものは粗大ごみへ。50cm未満でプラスチックのみのものはプラスチック資源へ。
288,え,園芸用吊りかご,,燃やすごみ,50cm以上のものは粗大ごみへ。50cm未満でプラスチックのみのものはプラスチック資源へ。金属製で30cm未満のものは小さな金属類へ。
290,え,園芸用吊りかご(金属製),,小さな金属類,30㎝以上のものは粗大ごみへ
291,え,エリザベスカラー(傷口保護用),,燃やすごみ,
292,え,円皮鍼,,燃やすごみ,針が出ないようにして出す(固いケースに入れるなど)。
293,え,AED(本体),,販売店へ相談,"設置場所の登録・管理がされている為、販売店へ相談。参考:<a href=""http://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/iyakuhin/aed/index.html"" target=""blank"">厚生労働省ホームページ</a>"
294,え,AEDのパッド,,燃やすごみ,本体は販売店へ相談
295,え,AEDのバッテリー,,販売店か回収協力店,本体は販売店へ相談
296,お,オートバイ,,販売店へ相談,詳細は二輪車リサイクルシステムコールセンター050‐3000‐0727
297,お,オーブンレンジ,,粗大ごみ,
298,お,おたま,,小さな金属類,プラスチックのみでできたものはプラスチック資源へ
299,お,落ち葉,,燃やすごみ,大量の場合は収集事務所に相談を。
300,お,お手拭き,,燃やすごみ,
301,お,お手拭きの包装フィルム,,プラスチック資源,
302,お,おもちゃ(木製・プラスチック製),,燃やすごみ,電池・充電池は電池類へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。50cm以上のものは粗大ごみへ。プラスチックのみで50cm未満のものはプラスチック資源へ。
303,お,オルガン,,粗大ごみ,
304,お,温水洗浄便座(自分で取り外したもののみ),,燃やすごみ,"一番長い辺が50㎝以上のものは粗大ごみへ。ただし、請負工事に伴い取り外したものは業者に処分を依頼する。"
305,お,折り込みちらし(新聞に入っているもの),,古紙（新聞）,新聞紙と一緒に出すことができます
306,お,オーブントースター,,粗大ごみ,金属製で30cm未満は小さな金属類
307,お,お菓子の袋(プラスチック製),,プラスチック資源,銀色のものも含む。
308,お,オイルスプレー(調理用),,燃やすごみ,金属製のものは小さな金属類 ガラス製のものは燃えないごみ
309,お,オイルポット,,小さな金属類,陶器製のものは燃えないごみ。
310,お,オイルボトル(ガラス製),,燃えないごみ,
311,お,オイルボトル(プラスチック製),,プラスチック資源,プラスチックのみでできたものはプラスチック資源へ
312,お,オイルライター・ガスライター(金属製),,小さな金属類,中身を使い切って
313,お,お菓子の缶(金属製),,缶・びん・ペットボトル,30㎝以上の缶は、粗大ごみへ。
314,お,おかま(金属製),,粗大ごみ,30cm未満のものは小さな金属類へ
315,お,桶(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
316,お,桶(金属製以外),,燃やすごみ,50cm以上のものは粗大ごみへ。50cm未満でプラスチックのみのものはプラスチック資源へ
317,お,おしぼり,,燃やすごみ,布製のものは古布
318,お,オシロスコープ(金属製),,小さな金属類,30cm以上のものは粗大ごみへ プラスチック製のものは燃やすごみへ
319,お,お弁当箱(金属製),,小さな金属類,
320,お,お弁当箱(プラスチック製),,プラスチック資源,プラスチックのみでできたものはプラスチック資源
321,お,おぼん・トレー(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
322,お,おぼん・トレー(木製・プラスチック製),,燃やすごみ,50cm未満でプラスチックのみのものはプラスチック資源へ。ガラス製は燃えないごみへ。50㎝以上のものは粗大ごみへ。
323,お,おまる(金属製),,小さな金属類,汚物はトイレに流して30cm以上のものは粗大ごみへ
324,お,おまる(金属製以外),,燃やすごみ,汚物はトイレに流して。50㎝以上のものは粗大ごみ
325,お,おもり,,小さな金属類,30cm以上のものは粗大ごみへ
326,お,オルゴール(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
327,お,オルゴール(金属製以外),,燃やすごみ,ガラス・陶器製のものは燃えないごみへ 50cm以上のものは粗大ごみへ
328,お,お椀,,燃やすごみ,プラスチックのみでできたものはプラスチック資源
329,お,温冷庫,,家電リサイクル,対象外の製品もあるため、メーカーに確認
330,お,オアシス(給水スポンジ),,プラスチック資源,
331,お,OAタップ,◎,燃やすごみ,
332,お,お菓子の包み紙,,古紙(雑誌・その他の紙）,銀紙、及び食べ物やその油が付いているものは燃やすごみへ
333,お,おひつ,,燃やすごみ,50cm以上のものは粗大ごみへ。50cm未満でプラスチックのみのものはプラスチック資源へ
334,お,おむつ入れ,,燃やすごみ,50cm以上のものは粗大ごみへ。50cm未満でプラスチックのみのものはプラスチック資源へ
335,お,おろし器(金属製),,小さな金属類,
336,お,OAチェア,,粗大ごみ,
338,お,お菓子・ケーキなどの焼型(金属製),,小さな金属類,30㎝を越えるものは粗大ごみへ。シリコン製のものは燃やすごみへ
339,お,オットマン(足置き台),,燃やすごみ,50cm以上のものは粗大ごみへ
340,お,折り紙,,古紙(雑誌・その他の紙）,
341,お,お茶漬け(インスタント)の袋,,プラスチック資源,紙製(紙マークのあるもの)は燃やすごみへ
342,お,おむつカバー(布製),,古布,洗って乾かしてから。汚れているものは燃やすごみへ
343,お,温風機,,粗大ごみ,プラスチック製で50cm未満のものは燃やすごみへ。金属製で30cm未満のものは小さな金属類へ 
344,お,OHPフィルム,,プラスチック資源,
345,お,おはじき(プラスチック製),,プラスチック資源,石・ガラス製のものは燃えないごみへ
347,お,おんぶひも,,燃やすごみ,
348,お,オイルフィルター(車用オイルエレメント),,小さな金属類,
349,お,おもちゃ(金属製),,小さな金属類,電池・充電池は電池類へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。30cm以上のものは粗大ごみへ
350,お,お香,,燃やすごみ,
351,お,お茶箱,,粗大ごみ,50cm未満のものは燃やすごみへ
352,お,折りたたみ椅子,,粗大ごみ,50cm未満のものは燃やすごみへ。金属製で30㎝未満のものは小さな金属類へ。
353,お,オール,,粗大ごみ,
355,お,おしりふき,,燃やすごみ,
356,お,おしりふきウォーマー,,燃やすごみ,
357,お,おとしふた,,燃やすごみ,50cm以上のものは粗大ごみへ。50cm未満でプラスチックのみのものはプラスチック資源へ
358,お,帯締め,,燃やすごみ,
359,お,お昼寝マット,,燃やすごみ,
360,お,お守り(紙・布・木製),,燃やすごみ,
361,お,お守り(ガラス・陶器製),,燃えないごみ,
362,お,お守り(金属製),,小さな金属類,
363,お,お面,,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ
364,お,おでんの容器,,プラスチック資源,コンビニ等で販売しているおでんの容器
365,お,押入れシート,,燃やすごみ,
367,お,おくるみ,,古布,洗濯して乾かしてから。汚れたり破れたりしたものは燃やすごみへ。
368,お,おしゃぶり,,燃やすごみ,
369,お,おもちゃ箱,,粗大ごみ,プラスチックのみで50cm未満のものはプラスチック資源へ。金属製で30cm未満のものは小さな金属類へ。その他は燃やすごみへ
370,お,置き鏡,,燃えないごみ,新聞紙等に包み品名を表示する。
372,お,おむつシート,,古布,布製以外は燃やすごみへ
373,お,お座敷ワゴン,,粗大ごみ,50cm未満のものは燃やすごみへ
374,お,お膳,,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ
375,お,織物,,古布,
376,お,帯飾り,,燃やすごみ,金属製のものは小さな金属類へ
377,お,置き床,,粗大ごみ,
378,お,帯(着物),,古布,
379,お,おしぼり機,,粗大ごみ,
380,お,折りたたみベンチ,,粗大ごみ,金属製で30cm未満のものは小さな金属類へ
381,お,お猪口,,燃えないごみ,
382,お,お風呂ポスター,,燃やすごみ,
383,お,オーナメント,,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ
