ID,頭文字,品目名,小型家電回収対象,出し方,出し方のポイント
1291,し,賞状の筒(紙製),,古紙(雑誌・その他の紙）,
1292,し,錠前(自分で取り外したもの),,小さな金属類,
1293,し,障子,,粗大ごみ,
1294,し,食器(金属製),,小さな金属類,30cm以上のものは粗大ごみへ アルミはくの皿は燃やすごみへ
1295,し,自転車・バイクのカゴ,,小さな金属類,30cm以上のものは粗大ごみへ。 木製のものは50㎝未満は燃やすごみ。プラスチックのみで50cm未満のものはプラスチック資源へ。50㎝以上は粗大ごみへ
1296,し,CD・DVDディスクの包装フィルム,,プラスチック資源,
1297,し,自転車充電器,,燃やすごみ,
1298,し,自転車のカバー,,燃やすごみ,畳んで50㎝以上のものは粗大ごみへ。広げて50cm未満でプラスチックのみのものはプラスチック資源へ
1299,し,収納袋,,燃やすごみ,広げて50cm未満でプラスチックのみのものはプラスチック資源へ
1300,し,朱肉,,燃やすごみ,金属ケースのものは小さな金属類へ
1301,し,シュレッダーごみ(紙以外のもの),,燃やすごみ,
1302,し,消臭剤(電池・電気式),,燃やすごみ,乾電池・コンセントを使用するもの。詰め替えカートリッジ(エアゾール缶)はスプレー缶へ
1303,し,シリコンマット,,燃やすごみ,
1304,し,人工肛門,,燃やすごみ,汚物はトイレに流して
1305,し,シェードカーテン(布地部分),,古布,洗濯して乾かしてから
1306,し,シェービングクリーム,,スプレー缶,中身を使い切って 穴はあけない。キャップはプラスチック資源へ。中身が出せなくなったものについては収集事務所に相談
1307,し,芝刈り機,,粗大ごみ,
1308,し,シャワーキャップ,,燃やすごみ,
1309,し,シューツリー(木型),,燃やすごみ,
1310,し,数珠,,燃やすごみ,珠が石製のものは燃えないごみへ
1311,し,シートカバー,,燃やすごみ,
1312,し,自転車補助椅子(金属製),,粗大ごみ,金属製で30cm未満のものは小さな金属類へ
1313,し,自転車補助椅子(プラスチック製),,粗大ごみ,50cm未満のものは燃やすごみへ
1314,し,しびん(プラスチック製),,プラスチック資源,汚物は流して洗う。ガラス製・陶器製のものは燃えないごみへ
1315,し,シャワーヘッド(プラスチック製),,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ。金属製のものは小さな金属類へ
1316,し,除湿シート,,燃やすごみ,
1317,し,自転車の補助輪,,小さな金属類,30cm以上のものは粗大ごみへ
1318,し,醤油さし(ガラス・陶器製),,燃えないごみ,プラスチックのみでできたものはプラスチック資源へ
1319,し,食品残渣(生ごみなど),,燃やすごみ,可能な範囲で水気を切って
1320,し,書類,,古紙(雑誌・その他の紙）,
1321,し,シュシュ・髪ゴム,,燃やすごみ,
1322,し,CD付き雑誌,,古紙(雑誌・その他の紙）,CDはプラスチック資源へ
1323,し,シーラー(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
1324,し,シーラー(プラスチック製),,燃やすごみ,50cm以上のものは粗大ごみへ
1325,し,歯間ブラシ,,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ
1326,し,写真引き伸ばし機,,粗大ごみ,
1327,し,修正液の容器,,プラスチック資源,
1328,し,修正テープ,,燃やすごみ,
1329,し,常夜灯(電球),,燃えないごみ,照明器具から取り外し、割れないように紙などで包んで品名を表示する 
1331,し,シンクマット,,燃やすごみ,広げて50cm未満でプラスチックのみのものはプラスチック資源へ
1332,し,常夜灯(本体),,燃やすごみ,電球は燃えないごみへ
1333,し,ショックアブソーバー(自動車),,粗大ごみ,30cm未満のものは小さな金属類へ
1334,し,シリコン製ブラジャー,,燃やすごみ,
1335,し,試験管,,燃えないごみ,新聞等に包み品名を表示する。
1336,し,自転車荷台,,小さな金属類,30cm以上のものは粗大ごみへ
1337,し,浄水器本体(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
1338,し,浄水器本体(プラスチック製),,燃やすごみ,
1339,し,しめ飾り,,燃やすごみ,50cmを越えるものは粗大ごみへ
1340,し,自転車スタンド,,粗大ごみ,"プラスチックのみで50cm未満のものはプラスチック資源へ。金属製で30cm未満のものは小さな金属類へ。
その他は燃やすごみへ"
1341,し,診察券,,燃やすごみ,紙製のものは古紙(雑誌・その他の紙)へ
1342,し,シューズケース・シューズバッグ,,燃やすごみ,
1343,し,車輪止め(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
1344,し,車輪止め(木製・ゴム製),,燃やすごみ,50cm以上のものは粗大ごみへ
1345,し,消毒液などのボトル(プラスチック製),,プラスチック資源,ガラス製のものは燃えないごみへ
